NAMES                    PORTS                                                                                                                                                                                                                                                                                                                                                                                                                                                                           STATUS                                                                 
mcp-qdrant-wrapper                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Restarting (1) 40 seconds ago                                          
mcp-advanced-memory      0.0.0.0:7012->8000/tcp, :::7012->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-mqtt                 0.0.0.0:7019->8000/tcp, :::7019->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (unhealthy)                                                  
mcp-redis-wrapper                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Restarting (1) 48 seconds ago                                          
mcp-filesystem           0.0.0.0:7001->8000/tcp, :::7001->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-research             0.0.0.0:7011->8000/tcp, :::7011->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-transcriber          0.0.0.0:7013->8000/tcp, :::7013->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (unhealthy)                                                  
zen-coordinator          0.0.0.0:7000->8020/tcp, :::7000->8020/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (healthy)                                                    
mcp-terminal             0.0.0.0:7003->8000/tcp, :::7003->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-database             0.0.0.0:7004->8000/tcp, :::7004->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-memory               0.0.0.0:7005->8000/tcp, :::7005->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-git                  0.0.0.0:7002->8000/tcp, :::7002->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-postgresql-wrapper   0.0.0.0:7024->8000/tcp, :::7024->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (healthy)                                                    
mcp-qdrant               0.0.0.0:7023->6333/tcp, :::7023->6333/tcp, 0.0.0.0:7027->6334/tcp, :::7027->6334/tcp                                                                                                                                                                                                                                                                                                                                                                                            Up 5 days                                                              
mcp-monitoring           0.0.0.0:7028->9090/tcp, :::7028->9090/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-config               0.0.0.0:7009->8000/tcp, :::7009->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (healthy)                                                    
mqtt-broker              0.0.0.0:7018->1883/tcp, :::7018->1883/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-message-queue        0.0.0.0:7030->6379/tcp, :::7030->6379/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-log                  0.0.0.0:7010->8000/tcp, :::7010->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (healthy)                                                    
mcp-backup               0.0.0.0:7029->8000/tcp, :::7029->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (healthy)                                                    
mcp-vision               0.0.0.0:7014->8000/tcp, :::7014->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (healthy)                                                    
mcp-security             0.0.0.0:7008->8000/tcp, :::7008->8000/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days (healthy)                                                    
mcp-redis                0.0.0.0:7022->6379/tcp, :::7022->6379/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
mcp-postgresql           0.0.0.0:7021->5432/tcp, :::7021->5432/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
portainer_agent          0.0.0.0:9001->9001/tcp, :::9001->9001/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                       Up 5 days                                                              
portainer                8000/tcp, 9000/tcp, 0.0.0.0:10001->9443/tcp, :::10001->9443/tcp                                                                                                                                                                                                                                                                                                                                                                                                                 Up 5 days                                                              
adguardhome              0.0.0.0:53->53/udp, :::53->53/udp, 0.0.0.0:53->53/tcp, 0.0.0.0:67-68->67-68/udp, :::53->53/tcp, :::67-68->67-68/udp, 0.0.0.0:443->443/tcp, 0.0.0.0:443->443/udp, :::443->443/tcp, :::443->443/udp, 0.0.0.0:853->853/tcp, 0.0.0.0:853->853/udp, :::853->853/tcp, :::853->853/udp, 0.0.0.0:5443->5443/tcp, :::5443->5443/tcp, 0.0.0.0:6060->6060/tcp, 0.0.0.0:5443->5443/udp, :::6060->6060/tcp, :::5443->5443/udp, 3000/tcp, 3000/udp, 0.0.0.0:10003->80/tcp, :::10003->80/tcp   Up 5 days                                                              
homeassistant            0.0.0.0:10002->8123/tcp, :::10002->8123/tcp                                                                                                                                                                                                                                                                                                                                                                                                                                     Up 5 days                                                              
